test,frame,latency_ms
blocking,278,17.556
blocking,279,17.097
blocking,280,15.765
blocking,281,16.544
blocking,282,16.265
blocking,283,16.622
blocking,284,17.083
blocking,285,15.435
blocking,286,15.561
blocking,287,17.072
blocking,288,15.428
blocking,289,15.593
blocking,290,17.090
blocking,291,16.466
blocking,292,15.573
blocking,293,18.204
blocking,294,15.644
blocking,295,15.527
blocking,296,17.126
blocking,297,16.272
blocking,298,16.977
blocking,299,16.043
polling,0,0.000
polling,1,0.000
polling,2,0.000
polling,3,0.000
polling,4,0.000
polling,5,0.000
polling,6,0.000
polling,7,0.000
polling,8,0.000
polling,9,0.000
polling,10,0.000
polling,11,0.000
polling,12,0.000
polling,13,0.000
polling,14,0.000
polling,15,0.000
polling,16,0.000
polling,17,0.000
polling,18,0.000
polling,19,0.000
polling,20,0.000
polling,21,0.000
polling,22,0.000
polling,23,0.000
polling,24,0.000
polling,25,0.000
polling,26,0.000
polling,27,0.000
polling,28,0.000
polling,29,0.000
polling,30,0.000
polling,31,0.000
polling,32,0.000
polling,33,0.000
polling,34,0.000
polling,35,0.000
polling,36,0.000
polling,37,0.000
polling,38,0.000
polling,39,0.000
polling,40,0.000
polling,41,0.000
polling,42,0.000
polling,43,0.000
polling,44,0.000
polling,45,0.000
polling,46,0.000
polling,47,0.000
polling,48,0.000
polling,49,0.000
polling,50,0.000
polling,51,0.000
polling,52,0.000
polling,53,0.000
polling,54,0.000
polling,55,0.000
polling,56,0.000
polling,57,0.000
polling,58,0.000
polling,59,0.000
polling,60,0.000
polling,61,0.000
polling,62,0.000
polling,63,0.000
polling,64,0.000
polling,65,0.000
polling,66,0.000
polling,67,0.000
polling,68,0.000
polling,69,0.000
polling,70,0.000
polling,71,0.000
polling,72,0.000
polling,73,0.000
polling,74,0.000
polling,75,0.000
polling,76,0.000
polling,77,0.000
polling,78,0.000
polling,79,0.000
polling,80,0.000
polling,81,0.000
polling,82,0.000
polling,83,0.000
polling,84,0.000
polling,85,0.000
polling,86,0.000
polling,87,0.000
polling,88,0.000
polling,89,0.000
polling,90,0.000
polling,91,0.000
polling,92,0.000
polling,93,0.000
polling,94,0.000
polling,95,0.000
polling,96,0.000
polling,97,0.000
polling,98,0.000
polling,99,0.000
polling,100,0.000
polling,101,0.000
polling,102,0.000
polling,103,0.000
polling,104,0.000
polling,105,0.000
polling,106,0.000
polling,107,0.000
polling,108,0.000
polling,109,0.000
polling,110,0.000
polling,111,0.000
polling,112,0.000
polling,113,0.000
polling,114,0.000
polling,115,0.000
polling,116,0.000
polling,117,0.000
polling,118,0.000
polling,119,0.000
polling,120,0.000
polling,121,0.000
polling,122,0.000
polling,123,0.000
polling,124,0.000
polling,125,0.000
polling,126,0.000
polling,127,0.000
polling,128,0.000
polling,129,0.000
polling,130,0.000
polling,131,0.000
polling,132,0.000
polling,133,0.000
polling,134,0.000
polling,135,0.000
polling,136,0.000
polling,137,0.000
polling,138,0.000
polling,139,0.000
polling,140,0.000
polling,141,0.000
polling,142,0.000
polling,143,0.000
polling,144,0.000
polling,145,0.000
polling,146,0.000
polling,147,0.000
polling,148,0.000
polling,149,0.000
polling,150,0.000
polling,151,0.000
polling,152,0.000
polling,153,0.000
polling,154,0.000
polling,155,0.000
polling,156,0.000
polling,157,0.000
polling,158,0.000
polling,159,0.000
polling,160,0.000
polling,161,0.000
polling,162,0.000
polling,163,0.000
polling,164,0.000
polling,165,0.000
polling,166,0.000
polling,167,0.000
polling,168,0.000
polling,169,0.000
polling,170,0.000
polling,171,0.000
polling,172,0.000
polling,173,0.000
polling,174,0.000
polling,175,0.000
polling,176,0.000
polling,177,0.000
polling,178,0.000
polling,179,0.000
polling,180,0.000
polling,181,0.000
polling,182,0.000
polling,183,0.000
polling,184,0.000
polling,185,0.000
polling,186,0.000
polling,187,0.000
polling,188,0.000
polling,189,0.000
polling,190,0.000
polling,191,0.000
polling,192,0.000
polling,193,0.000
polling,194,0.000
polling,195,0.000
polling,196,0.000
polling,197,0.000
polling,198,0.000
polling,199,0.000
polling,200,0.000
polling,201,0.000
polling,202,0.000
polling,203,0.000
polling,204,0.000
polling,205,0.000
polling,206,0.000
polling,207,0.000
polling,208,0.000
polling,209,0.000
polling,210,0.000
polling,211,0.000
polling,212,0.000
polling,213,0.000
polling,214,0.000
polling,215,0.000
polling,216,0.000
polling,217,0.000
polling,218,0.000
polling,219,0.000
polling,220,0.000
polling,221,0.000
polling,222,0.000
polling,223,0.000
polling,224,0.000
polling,225,0.000
polling,226,0.000
polling,227,0.000
polling,228,0.000
polling,229,0.000
polling,230,0.000
polling,231,0.000
polling,232,0.000
polling,233,0.000
polling,234,0.000
polling,235,0.000
polling,236,0.000
polling,237,0.000
polling,238,0.000
polling,239,0.000
polling,240,0.000
polling,241,0.000
polling,242,0.000
polling,243,0.000
polling,244,0.000
polling,245,0.000
polling,246,0.000
polling,247,0.000
polling,248,0.000
polling,249,0.000
polling,250,0.000
polling,251,0.000
polling,252,0.000
polling,253,0.000
polling,254,0.000
polling,255,0.000
polling,256,0.000
polling,257,0.000
polling,258,0.000
polling,259,0.000
polling,260,0.000
polling,261,0.000
polling,262,0.000
polling,263,0.000
polling,264,0.000
polling,265,0.000
polling,266,0.000
polling,267,0.000
polling,268,0.000
polling,269,0.000
polling,270,0.000
polling,271,0.000
polling,272,0.000
polling,273,0.000
polling,274,0.000
polling,275,0.000
polling,276,0.000
polling,277,0.000
polling,278,0.000
polling,279,0.000
polling,280,0.000
polling,281,0.000
polling,282,0.000
polling,283,0.000
polling,284,0.000
polling,285,0.000
polling,286,0.000
polling,287,0.000
polling,288,0.000
polling,289,0.000
polling,290,0.000
polling,291,0.000
polling,292,0.000
polling,293,0.000
polling,294,0.000
polling,295,0.000
polling,296,0.000
polling,297,0.000
polling,298,0.504
polling,299,0.963
